,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6729338962257343,0.6166695417169801,0.678763440860215,0.6505376344086021,0.014178830084192302,0.08323273884839855,"[0.678763440860215, 0.6859060402684564, 0.6590604026845638, 0.6563758389261745, 0.6845637583892618]","[0.49732620320855614, 0.6505376344086021, 0.6935483870967742, 0.6774193548387096, 0.5645161290322581]","[[[58, 7, 3, 0, 0], [4, 3, 1, 26, 0], [3, 2, 14, 10, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[56, 4, 7, 0, 0], [25, 1, 7, 0, 0], [14, 1, 15, 0, 0], [0, 0, 0, 18, 0], [0, 0, 0, 7, 31]], [[62, 0, 5, 0, 0], [23, 0, 10, 0, 0], [4, 0, 24, 0, 2], [0, 0, 0, 7, 11], [0, 0, 2, 0, 36]], [[65, 1, 1, 0, 0], [17, 0, 16, 0, 0], [3, 1, 26, 0, 0], [0, 0, 6, 0, 12], [0, 0, 3, 0, 35]], [[55, 12, 1, 0, 0], [15, 3, 15, 0, 0], [9, 2, 18, 0, 0], [0, 0, 4, 0, 14], [0, 0, 9, 0, 29]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.9041340116908421,0.6338278419872347,0.8991935483870968,0.5967741935483871,0.011308952579790286,0.0865489962992066,"[0.8991935483870968, 0.9234899328859061, 0.8966442953020134, 0.8966442953020134, 0.9046979865771813]","[0.5401069518716578, 0.5806451612903226, 0.7204301075268817, 0.7311827956989247, 0.5967741935483871]","[[[58, 9, 1, 0, 0], [3, 13, 1, 17, 0], [1, 9, 11, 8, 0], [0, 0, 0, 17, 1], [0, 0, 0, 36, 2]], [[51, 13, 3, 0, 0], [19, 8, 6, 0, 0], [5, 11, 14, 0, 0], [0, 0, 2, 6, 10], [0, 0, 0, 9, 29]], [[57, 9, 1, 0, 0], [10, 11, 12, 0, 0], [2, 1, 26, 1, 0], [0, 0, 0, 4, 14], [0, 0, 0, 2, 36]], [[65, 2, 0, 0, 0], [18, 8, 7, 0, 0], [2, 6, 22, 0, 0], [0, 1, 3, 4, 10], [0, 0, 0, 1, 37]], [[59, 7, 2, 0, 0], [21, 7, 5, 0, 0], [9, 5, 14, 1, 0], [0, 0, 1, 4, 13], [0, 0, 0, 11, 27]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.7161647542758172,0.6177218101316773,0.7140939597315437,0.6236559139784946,0.008224741133816982,0.05968038900279193,"[0.7137096774193549, 0.723489932885906, 0.7140939597315437, 0.7046979865771812, 0.7248322147651006]","[0.5187165775401069, 0.6236559139784946, 0.6559139784946236, 0.6720430107526881, 0.6182795698924731]","[[[67, 1, 0, 0, 0], [11, 1, 0, 22, 0], [4, 6, 10, 9, 0], [0, 0, 0, 18, 0], [0, 0, 0, 37, 1]], [[58, 4, 5, 0, 0], [28, 2, 3, 0, 0], [15, 4, 11, 0, 0], [0, 1, 0, 7, 10], [0, 0, 0, 0, 38]], [[65, 2, 0, 0, 0], [26, 2, 5, 0, 0], [7, 4, 18, 0, 1], [0, 0, 1, 0, 17], [0, 0, 1, 0, 37]], [[65, 1, 1, 0, 0], [20, 1, 12, 0, 0], [5, 2, 22, 0, 1], [0, 1, 3, 0, 14], [0, 0, 1, 0, 37]], [[64, 2, 2, 0, 0], [23, 4, 6, 0, 0], [14, 1, 12, 0, 2], [0, 0, 3, 0, 15], [0, 1, 2, 0, 35]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7647694306126868,0.603823816916796,0.7661290322580645,0.6612903225806451,0.017479098383846238,0.1024139218414001,"[0.7661290322580645, 0.7879194630872484, 0.7463087248322148, 0.748993288590604, 0.774496644295302]","[0.44385026737967914, 0.5591397849462365, 0.6666666666666666, 0.6881720430107527, 0.6612903225806451]","[[[52, 14, 2, 0, 0], [8, 3, 1, 21, 1], [3, 6, 10, 10, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[52, 10, 5, 0, 0], [26, 3, 4, 0, 0], [12, 9, 9, 0, 0], [0, 0, 3, 8, 7], [0, 0, 0, 6, 32]], [[55, 9, 3, 0, 0], [16, 14, 3, 0, 0], [5, 9, 15, 1, 0], [0, 0, 0, 4, 14], [0, 0, 1, 1, 36]], [[64, 1, 2, 0, 0], [18, 8, 7, 0, 0], [8, 6, 16, 0, 0], [0, 1, 1, 4, 12], [0, 0, 2, 0, 36]], [[64, 3, 1, 0, 0], [21, 6, 6, 0, 0], [12, 5, 12, 0, 0], [0, 0, 1, 5, 12], [0, 0, 0, 2, 36]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9991942700440211,0.512437467655684,0.9986577181208054,0.521505376344086,0.0007355278223537187,0.057769121481619376,"[0.9986559139784946, 1.0, 0.9986577181208054, 0.9986577181208054, 1.0]","[0.43315508021390375, 0.521505376344086, 0.5913978494623656, 0.5268817204301075, 0.489247311827957]","[[[51, 12, 5, 0, 0], [14, 4, 3, 13, 0], [4, 12, 5, 8, 0], [0, 0, 2, 16, 0], [1, 3, 3, 26, 5]], [[45, 11, 10, 1, 0], [13, 13, 7, 0, 0], [6, 12, 10, 1, 1], [0, 0, 2, 6, 10], [1, 4, 0, 10, 23]], [[49, 10, 8, 0, 0], [16, 8, 9, 0, 0], [7, 6, 15, 0, 2], [0, 0, 0, 7, 11], [0, 0, 1, 6, 31]], [[49, 10, 6, 0, 2], [14, 4, 14, 0, 1], [3, 8, 15, 2, 2], [0, 2, 5, 3, 8], [0, 1, 4, 6, 27]], [[47, 15, 5, 0, 1], [14, 8, 10, 1, 0], [5, 11, 11, 0, 2], [0, 0, 3, 1, 14], [1, 4, 6, 3, 24]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9991942700440211,0.6295095164165373,0.9986577181208054,0.6290322580645161,0.0007355278223537187,0.06427653736238965,"[0.9986559139784946, 1.0, 0.9986577181208054, 0.9986577181208054, 1.0]","[0.5561497326203209, 0.5752688172043011, 0.6935483870967742, 0.6935483870967742, 0.6290322580645161]","[[[65, 1, 2, 0, 0], [13, 6, 1, 14, 0], [3, 2, 15, 9, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[52, 8, 7, 0, 0], [27, 1, 5, 0, 0], [13, 4, 13, 0, 0], [0, 0, 1, 5, 12], [0, 0, 0, 2, 36]], [[63, 2, 2, 0, 0], [21, 4, 8, 0, 0], [4, 2, 23, 0, 1], [0, 0, 0, 2, 16], [0, 0, 0, 1, 37]], [[66, 0, 1, 0, 0], [19, 0, 14, 0, 0], [4, 1, 25, 0, 0], [0, 1, 3, 3, 11], [0, 0, 3, 0, 35]], [[64, 2, 2, 0, 0], [21, 1, 11, 0, 0], [9, 2, 18, 0, 0], [0, 0, 3, 1, 14], [0, 0, 4, 1, 33]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8413029515768203,0.6101489276062331,0.8523489932885906,0.5806451612903226,0.03385186913300068,0.061951138243463044,"[0.853494623655914, 0.8483221476510067, 0.8523489932885906, 0.7825503355704698, 0.8697986577181208]","[0.5614973262032086, 0.5806451612903226, 0.6505376344086021, 0.6989247311827957, 0.5591397849462365]","[[[61, 5, 2, 0, 0], [3, 15, 2, 14, 0], [4, 9, 10, 6, 0], [0, 0, 0, 17, 1], [0, 0, 0, 36, 2]], [[54, 7, 2, 0, 4], [19, 9, 5, 0, 0], [9, 9, 8, 2, 2], [0, 1, 0, 7, 10], [0, 0, 0, 8, 30]], [[53, 6, 8, 0, 0], [9, 1, 22, 0, 1], [1, 0, 28, 1, 0], [0, 0, 1, 5, 12], [0, 0, 0, 4, 34]], [[65, 0, 2, 0, 0], [21, 2, 10, 0, 0], [2, 2, 24, 1, 1], [0, 0, 6, 7, 5], [0, 0, 1, 5, 32]], [[47, 14, 5, 2, 0], [12, 9, 10, 0, 2], [5, 4, 20, 0, 0], [0, 0, 1, 7, 10], [0, 0, 2, 15, 21]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.6302482499819586,0.5305675349318613,0.610738255033557,0.521505376344086,0.038888877543133055,0.03855235786962623,"[0.6747311827956989, 0.6697986577181209, 0.610738255033557, 0.5932885906040268, 0.6026845637583893]","[0.5721925133689839, 0.5698924731182796, 0.4946236559139785, 0.4946236559139785, 0.521505376344086]","[[[46, 15, 7, 0, 0], [6, 21, 4, 3, 0], [5, 6, 12, 6, 0], [0, 0, 0, 13, 5], [0, 0, 0, 23, 15]], [[49, 12, 6, 0, 0], [18, 8, 6, 1, 0], [8, 8, 14, 0, 0], [0, 1, 1, 1, 15], [0, 0, 1, 3, 34]], [[48, 11, 8, 0, 0], [11, 9, 13, 0, 0], [2, 7, 20, 1, 0], [0, 0, 0, 13, 5], [0, 0, 1, 35, 2]], [[60, 5, 2, 0, 0], [25, 3, 5, 0, 0], [10, 6, 14, 0, 0], [0, 0, 3, 4, 11], [0, 0, 7, 20, 11]], [[48, 9, 11, 0, 0], [11, 10, 12, 0, 0], [9, 5, 15, 0, 0], [0, 1, 6, 6, 5], [0, 0, 8, 12, 18]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9991942700440211,0.6037433155080214,0.9986577181208054,0.5913978494623656,0.0007355278223537187,0.07926196065142295,"[0.9986559139784946, 1.0, 0.9986577181208054, 0.9986577181208054, 1.0]","[0.5187165775401069, 0.5913978494623656, 0.6827956989247311, 0.6881720430107527, 0.5376344086021505]","[[[59, 5, 4, 0, 0], [6, 6, 1, 21, 0], [3, 4, 13, 9, 0], [0, 0, 0, 17, 1], [0, 0, 0, 36, 2]], [[53, 9, 5, 0, 0], [22, 3, 8, 0, 0], [10, 4, 16, 0, 0], [0, 1, 1, 7, 9], [0, 0, 0, 7, 31]], [[60, 3, 4, 0, 0], [15, 6, 12, 0, 0], [3, 1, 25, 1, 0], [0, 0, 1, 2, 15], [0, 0, 2, 2, 34]], [[64, 3, 0, 0, 0], [16, 6, 11, 0, 0], [2, 5, 23, 0, 0], [0, 1, 4, 2, 11], [0, 1, 3, 1, 33]], [[56, 11, 1, 0, 0], [18, 5, 10, 0, 0], [8, 7, 13, 0, 1], [0, 0, 6, 1, 11], [0, 3, 6, 4, 25]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.9283048278848236,0.6391524351676154,0.9328859060402684,0.6021505376344086,0.008608061008392572,0.06286329561051496,"[0.9354838709677419, 0.9328859060402684, 0.9234899328859061, 0.9154362416107382, 0.934228187919463]","[0.5882352941176471, 0.6021505376344086, 0.6935483870967742, 0.7204301075268817, 0.5913978494623656]","[[[60, 7, 1, 0, 0], [4, 21, 0, 9, 0], [2, 9, 10, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 37, 1]], [[55, 8, 4, 0, 0], [20, 8, 5, 0, 0], [8, 9, 13, 0, 0], [1, 1, 1, 2, 13], [0, 0, 1, 3, 34]], [[61, 5, 1, 0, 0], [15, 5, 13, 0, 0], [4, 0, 25, 1, 0], [0, 0, 0, 3, 15], [0, 0, 0, 3, 35]], [[66, 1, 0, 0, 0], [19, 7, 7, 0, 0], [2, 6, 21, 0, 1], [0, 1, 3, 4, 10], [0, 0, 0, 2, 36]], [[61, 7, 0, 0, 0], [20, 9, 4, 0, 0], [12, 4, 13, 0, 0], [0, 2, 3, 2, 11], [2, 5, 3, 3, 25]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
