,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9304557263476942,0.9173825541946984,50.6,10.0,5.4,120.2,0.9234409864944215,0.0765590135055784,0.09642857142857142,0.9035714285714287,0.9587138659251778,0.9377189630009731,0.9261744966442953,0.9408602150537635,51.0,3.0,5.0,127.0,0.9769230769230769,0.023076923076923078,0.08928571428571429,0.9107142857142857,0.9626865671641791,0.9584905660377359,0.013380137893991314,0.0665044088924812,4.277849927241488,13.19090595827292,4.277849927241488,12.794530081249567,0.10074470253126272,0.10074470253126273,0.07639017727216943,0.07639017727216942,0.033584169124129044,0.05314929280722589,"[0.9475806451612904, 0.9221476510067114, 0.9154362416107382, 0.9261744966442953, 0.9409395973154362]","[0.8342245989304813, 0.9838709677419355, 0.967741935483871, 0.9408602150537635, 0.8602150537634409]","[56, 53, 51, 48, 45]","[31, 0, 1, 3, 15]","[0, 3, 5, 8, 11]","[100, 130, 129, 127, 115]","[0.7633587786259542, 1.0, 0.9923076923076923, 0.9769230769230769, 0.8846153846153846]","[0.2366412213740458, 0.0, 0.007692307692307693, 0.023076923076923078, 0.11538461538461539]","[0.0, 0.05357142857142857, 0.08928571428571429, 0.14285714285714285, 0.19642857142857142]","[1.0, 0.9464285714285714, 0.9107142857142857, 0.8571428571428571, 0.8035714285714286]","[1.0, 0.9774436090225563, 0.9626865671641791, 0.9407407407407408, 0.9126984126984127]","[0.8658008658008659, 0.988593155893536, 0.9772727272727273, 0.9584905660377359, 0.8984375]","[[[56, 0], [31, 100]], [[53, 3], [0, 130]], [[51, 5], [1, 129]], [[48, 8], [3, 127]], [[45, 11], [15, 115]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.9549134609855672,52.6,5.0,3.4,125.2,0.961679389312977,0.0383206106870229,0.06071428571428571,0.9392857142857143,0.9737064724196924,0.9672512890114753,1.0,0.9731182795698925,53.0,2.0,3.0,128.0,0.9846153846153847,0.015384615384615385,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9809885931558935,0.0,0.03342040030430023,2.302172886644268,5.5677643628300215,2.302172886644268,5.263078946776307,0.04260807180859006,0.042608071808590046,0.04111023011864764,0.041110230118647624,0.018032586151608923,0.024616469038273095,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.93048128342246, 0.9838709677419355, 0.9731182795698925, 0.978494623655914, 0.9086021505376344]","[55, 53, 52, 54, 49]","[12, 0, 1, 2, 10]","[1, 3, 4, 2, 7]","[119, 130, 129, 128, 120]","[0.9083969465648855, 1.0, 0.9923076923076923, 0.9846153846153847, 0.9230769230769231]","[0.0916030534351145, 0.0, 0.007692307692307693, 0.015384615384615385, 0.07692307692307693]","[0.017857142857142856, 0.05357142857142857, 0.07142857142857142, 0.03571428571428571, 0.125]","[0.9821428571428571, 0.9464285714285714, 0.9285714285714286, 0.9642857142857143, 0.875]","[0.9916666666666667, 0.9774436090225563, 0.9699248120300752, 0.9846153846153847, 0.9448818897637795]","[0.9482071713147411, 0.988593155893536, 0.9809885931558935, 0.9846153846153847, 0.9338521400778211]","[[[55, 1], [12, 119]], [[53, 3], [0, 130]], [[52, 4], [1, 129]], [[54, 2], [2, 128]], [[49, 7], [10, 120]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9720736811719709,0.9570524984187223,51.8,3.8,4.2,126.4,0.9708984145625367,0.0291015854374633,0.075,0.925,0.968565594483214,0.9692219801309447,0.9718120805369127,0.967741935483871,51.0,1.0,5.0,129.0,0.9923076923076923,0.007692307692307693,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9772727272727273,0.005398768277227301,0.03310381297438882,3.96232255123179,4.969909455915671,3.96232255123179,4.615192303685731,0.03799651190616437,0.037996511906164356,0.07075575984342483,0.07075575984342483,0.029727628628148428,0.02371471834542076,"[0.9744623655913979, 0.9677852348993289, 0.9718120805369127, 0.9664429530201343, 0.9798657718120806]","[0.9411764705882353, 0.9946236559139785, 0.9731182795698925, 0.967741935483871, 0.9086021505376344]","[56, 55, 51, 51, 46]","[11, 0, 0, 1, 7]","[0, 1, 5, 5, 10]","[120, 130, 130, 129, 123]","[0.916030534351145, 1.0, 1.0, 0.9923076923076923, 0.9461538461538461]","[0.08396946564885496, 0.0, 0.0, 0.007692307692307693, 0.05384615384615385]","[0.0, 0.017857142857142856, 0.08928571428571429, 0.08928571428571429, 0.17857142857142858]","[1.0, 0.9821428571428571, 0.9107142857142857, 0.9107142857142857, 0.8214285714285714]","[1.0, 0.9923664122137404, 0.9629629629629629, 0.9626865671641791, 0.924812030075188]","[0.9561752988047809, 0.9961685823754789, 0.9811320754716981, 0.9772727272727273, 0.935361216730038]","[[[56, 0], [11, 120]], [[55, 1], [0, 130]], [[51, 5], [0, 130]], [[51, 5], [1, 129]], [[46, 10], [7, 123]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9801284549325251,0.9452705422344891,51.6,5.8,4.4,124.4,0.9556077510275983,0.04439224897240164,0.07857142857142857,0.9214285714285714,0.9668691931849827,0.9599865755037194,0.978523489932886,0.967741935483871,52.0,2.0,4.0,128.0,0.9846153846153847,0.015384615384615385,0.07142857142857142,0.9285714285714286,0.9696969696969697,0.9770992366412214,0.0024060176057074615,0.04103492848998318,3.646916505762094,8.07465169527454,3.646916505762094,7.668115805072325,0.06165707573749429,0.061657075737494266,0.06512350903146596,0.06512350903146596,0.027612338797860646,0.030978864939940287,"[0.978494623655914, 0.978523489932886, 0.978523489932886, 0.9812080536912752, 0.9838926174496644]","[0.8983957219251337, 0.9731182795698925, 0.9838709677419355, 0.967741935483871, 0.9032258064516129]","[56, 51, 53, 52, 46]","[19, 0, 0, 2, 8]","[0, 5, 3, 4, 10]","[112, 130, 130, 128, 122]","[0.8549618320610687, 1.0, 1.0, 0.9846153846153847, 0.9384615384615385]","[0.1450381679389313, 0.0, 0.0, 0.015384615384615385, 0.06153846153846154]","[0.0, 0.08928571428571429, 0.05357142857142857, 0.07142857142857142, 0.17857142857142858]","[1.0, 0.9107142857142857, 0.9464285714285714, 0.9285714285714286, 0.8214285714285714]","[1.0, 0.9629629629629629, 0.9774436090225563, 0.9696969696969697, 0.9242424242424242]","[0.9218106995884773, 0.9811320754716981, 0.988593155893536, 0.9770992366412214, 0.9312977099236641]","[[[56, 0], [19, 112]], [[51, 5], [0, 130]], [[53, 3], [0, 130]], [[52, 4], [2, 128]], [[46, 10], [8, 122]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.8507101374274051,44.2,16.0,11.8,114.2,0.877204932472108,0.12279506752789196,0.21071428571428572,0.7892857142857144,0.9070151834235121,0.8910266654334885,1.0,0.8440860215053764,45.0,14.0,11.0,116.0,0.8923076923076924,0.1076923076923077,0.19642857142857142,0.8035714285714286,0.9172932330827067,0.888888888888889,0.0,0.04483003088568747,4.324349662087931,7.176350047203662,4.324349662087931,6.906518659932803,0.05481215283767344,0.05481215283767345,0.07722052968014162,0.07722052968014166,0.03295739898503554,0.034205033216694845,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.839572192513369, 0.8978494623655914, 0.8870967741935484, 0.8440860215053764, 0.7849462365591398]","[50, 45, 46, 41, 39]","[24, 8, 11, 14, 23]","[6, 11, 10, 15, 17]","[107, 122, 119, 116, 107]","[0.816793893129771, 0.9384615384615385, 0.9153846153846154, 0.8923076923076924, 0.823076923076923]","[0.183206106870229, 0.06153846153846154, 0.08461538461538462, 0.1076923076923077, 0.17692307692307693]","[0.10714285714285714, 0.19642857142857142, 0.17857142857142858, 0.26785714285714285, 0.30357142857142855]","[0.8928571428571429, 0.8035714285714286, 0.8214285714285714, 0.7321428571428571, 0.6964285714285714]","[0.9469026548672567, 0.9172932330827067, 0.9224806201550387, 0.8854961832061069, 0.8629032258064516]","[0.8770491803278689, 0.9277566539923955, 0.9189189189189189, 0.888888888888889, 0.84251968503937]","[[[50, 6], [24, 107]], [[45, 11], [8, 122]], [[46, 10], [11, 119]], [[41, 15], [14, 116]], [[39, 17], [23, 107]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9377609108159393,51.0,6.6,5.0,123.6,0.949489136817381,0.0505108631826189,0.08928571428571427,0.9107142857142858,0.9623584603259218,0.9541520510306132,1.0,0.9623655913978495,51.0,0.0,5.0,130.0,1.0,0.0,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9737827715355805,0.0,0.04903715178494783,3.8078865529319543,9.838699100999076,3.8078865529319543,9.44986772394196,0.075177309511847,0.07517730951184701,0.06799797415949918,0.06799797415949918,0.02922348126553112,0.03755064946305074,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8823529411764706, 0.9838709677419355, 0.9731182795698925, 0.9623655913978495, 0.8870967741935484]","[56, 53, 51, 49, 46]","[22, 0, 0, 0, 11]","[0, 3, 5, 7, 10]","[109, 130, 130, 130, 119]","[0.8320610687022901, 1.0, 1.0, 1.0, 0.9153846153846154]","[0.16793893129770993, 0.0, 0.0, 0.0, 0.08461538461538462]","[0.0, 0.05357142857142857, 0.08928571428571429, 0.125, 0.17857142857142858]","[1.0, 0.9464285714285714, 0.9107142857142857, 0.875, 0.8214285714285714]","[1.0, 0.9774436090225563, 0.9629629629629629, 0.948905109489051, 0.9224806201550387]","[0.9083333333333334, 0.988593155893536, 0.9811320754716981, 0.9737827715355805, 0.9189189189189189]","[[[56, 0], [22, 109]], [[53, 3], [0, 130]], [[51, 5], [0, 130]], [[49, 7], [0, 130]], [[46, 10], [11, 119]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.9506066356161232,52.6,5.8,3.4,124.4,0.9555137991779213,0.044486200822078686,0.06071428571428571,0.9392857142857143,0.9736350236298097,0.9641889972945986,1.0,0.967741935483871,54.0,4.0,2.0,126.0,0.9692307692307692,0.03076923076923077,0.03571428571428571,0.9642857142857143,0.984375,0.9767441860465116,0.0,0.027734320042520858,2.5099800796022267,4.43846820423443,2.5099800796022267,4.159326868617084,0.03395357913835377,0.03395357913835378,0.044821072850039764,0.04482107285003976,0.019413594409591155,0.02037780087021328,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9358288770053476, 0.9731182795698925, 0.967741935483871, 0.967741935483871, 0.9086021505376344]","[55, 54, 51, 54, 49]","[11, 3, 1, 4, 10]","[1, 2, 5, 2, 7]","[120, 127, 129, 126, 120]","[0.916030534351145, 0.9769230769230769, 0.9923076923076923, 0.9692307692307692, 0.9230769230769231]","[0.08396946564885496, 0.023076923076923078, 0.007692307692307693, 0.03076923076923077, 0.07692307692307693]","[0.017857142857142856, 0.03571428571428571, 0.08928571428571429, 0.03571428571428571, 0.125]","[0.9821428571428571, 0.9642857142857143, 0.9107142857142857, 0.9642857142857143, 0.875]","[0.9917355371900827, 0.9844961240310077, 0.9626865671641791, 0.984375, 0.9448818897637795]","[0.9523809523809524, 0.9806949806949806, 0.9772727272727273, 0.9767441860465116, 0.9338521400778211]","[[[55, 1], [11, 120]], [[54, 2], [3, 127]], [[51, 5], [1, 129]], [[54, 2], [4, 126]], [[49, 7], [10, 120]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9527514231499051,52.4,5.2,3.6,125.0,0.9601291837933059,0.03987081620669407,0.0642857142857143,0.9357142857142857,0.9724733320082157,0.9658576732514943,1.0,0.967741935483871,53.0,3.0,3.0,127.0,0.9769230769230769,0.023076923076923078,0.05357142857142857,0.9464285714285714,0.9769230769230769,0.9769230769230769,0.0,0.034482441839470135,3.5777087639996634,4.969909455915671,3.5777087639996634,4.69041575982343,0.038042252065823866,0.038042252065823866,0.06388765649999399,0.06388765649999398,0.027583000760433636,0.02498186748413522,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9411764705882353, 0.9838709677419355, 0.9731182795698925, 0.967741935483871, 0.8978494623655914]","[56, 55, 51, 53, 47]","[11, 2, 0, 3, 10]","[0, 1, 5, 3, 9]","[120, 128, 130, 127, 120]","[0.916030534351145, 0.9846153846153847, 1.0, 0.9769230769230769, 0.9230769230769231]","[0.08396946564885496, 0.015384615384615385, 0.0, 0.023076923076923078, 0.07692307692307693]","[0.0, 0.017857142857142856, 0.08928571428571429, 0.05357142857142857, 0.16071428571428573]","[1.0, 0.9821428571428571, 0.9107142857142857, 0.9464285714285714, 0.8392857142857143]","[1.0, 0.9922480620155039, 0.9629629629629629, 0.9769230769230769, 0.9302325581395349]","[0.9561752988047809, 0.9884169884169884, 0.9811320754716981, 0.9769230769230769, 0.9266409266409267]","[[[56, 0], [11, 120]], [[55, 1], [2, 128]], [[51, 5], [0, 130]], [[53, 3], [3, 127]], [[47, 9], [10, 120]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9495428670001725,51.0,4.4,5.0,125.8,0.966318261890781,0.033681738109219025,0.08928571428571429,0.9107142857142858,0.9630593390876283,0.9638491961359034,1.0,0.9623655913978495,51.0,1.0,5.0,129.0,0.9923076923076923,0.007692307692307693,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9735849056603774,0.0,0.04063638768576976,5.1478150704935,6.107372593840988,5.1478150704935,5.718391382198319,0.04665706891648564,0.046657068916485654,0.09192526911595536,0.09192526911595533,0.037813261563828846,0.029043277478095098,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9251336898395722, 0.9946236559139785, 0.9731182795698925, 0.9623655913978495, 0.8924731182795699]","[56, 55, 51, 50, 43]","[14, 0, 0, 1, 7]","[0, 1, 5, 6, 13]","[117, 130, 130, 129, 123]","[0.8931297709923665, 1.0, 1.0, 0.9923076923076923, 0.9461538461538461]","[0.10687022900763359, 0.0, 0.0, 0.007692307692307693, 0.05384615384615385]","[0.0, 0.017857142857142856, 0.08928571428571429, 0.10714285714285714, 0.23214285714285715]","[1.0, 0.9821428571428571, 0.9107142857142857, 0.8928571428571429, 0.7678571428571429]","[1.0, 0.9923664122137404, 0.9629629629629629, 0.9555555555555556, 0.9044117647058824]","[0.9435483870967742, 0.9961685823754789, 0.9811320754716981, 0.9735849056603774, 0.9248120300751879]","[[[56, 0], [14, 117]], [[55, 1], [0, 130]], [[51, 5], [0, 130]], [[50, 6], [1, 129]], [[43, 13], [7, 123]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9559887298027716,52.8,5.0,3.2,125.2,0.961679389312977,0.0383206106870229,0.05714285714285714,0.9428571428571428,0.9752504375479216,0.9680602784672974,1.0,0.9731182795698925,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.9846153846153847,0.9809885931558935,0.0,0.031594483721444244,2.3874672772626644,5.1478150704935,2.3874672772626644,4.8166378315169185,0.039359568009530485,0.039359568009530464,0.04263334423683329,0.042633344236833286,0.01851859109630609,0.023226755025853668,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.93048128342246, 0.9838709677419355, 0.9731182795698925, 0.978494623655914, 0.9139784946236559]","[55, 54, 52, 54, 49]","[12, 1, 1, 2, 9]","[1, 2, 4, 2, 7]","[119, 129, 129, 128, 121]","[0.9083969465648855, 0.9923076923076923, 0.9923076923076923, 0.9846153846153847, 0.9307692307692308]","[0.0916030534351145, 0.007692307692307693, 0.007692307692307693, 0.015384615384615385, 0.06923076923076923]","[0.017857142857142856, 0.03571428571428571, 0.07142857142857142, 0.03571428571428571, 0.125]","[0.9821428571428571, 0.9642857142857143, 0.9285714285714286, 0.9642857142857143, 0.875]","[0.9916666666666667, 0.9847328244274809, 0.9699248120300752, 0.9846153846153847, 0.9453125]","[0.9482071713147411, 0.9885057471264368, 0.9809885931558935, 0.9846153846153847, 0.937984496124031]","[[[55, 1], [12, 119]], [[54, 2], [1, 129]], [[52, 4], [1, 129]], [[54, 2], [2, 128]], [[49, 7], [9, 121]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
